feature_index,feature_name,class_0_mean,class_1_mean,class_0_std,class_1_std,mean_diff_class1_minus_class0,cohens_d,abs_cohens_d,raw_auc,separability_auc,auc_distance_from_random,mannwhitney_stat,mannwhitney_p,mannwhitney_q_fdr,mutual_information,mean_abs_corr_to_other_features,max_abs_corr_to_other_features,redundancy_penalty,abs_d_norm,auc_norm,mi_norm,fdr_score,feature_score_raw,feature_score
94,C3_clean_high_alpha_relpower,0.11212455985185055,-0.11457536990325957,0.9791651768960776,1.0134169425552433,-0.2266999297551101,-0.22755277435912272,0.22755277435912272,0.44051897957394576,0.5594810204260543,0.1189620408521086,19146.0,0.04787968168238389,0.29791801935705536,0.09828534422959079,0.21496826736199495,0.9999999999999998,0.7850317326380051,0.6662998999712618,0.1189620408521086,1.0,0.7020819806429446,0.5450498773524741,0.5098993490243753
38,C3_clean_050Cz_high_alpha_relpower,0.11212455985185055,-0.11457536990325957,0.9791651768960776,1.0134169425552433,-0.2266999297551101,-0.22755277435912272,0.22755277435912272,0.44051897957394576,0.5594810204260543,0.1189620408521086,19146.0,0.04787968168238389,0.29791801935705536,0.09828534422959079,0.21496826736199495,0.9999999999999998,0.7850317326380051,0.6662998999712618,0.1189620408521086,1.0,0.7020819806429446,0.5450498773524741,0.5098993490243753
241,C4_smooth_532_hjorth_mobility,0.15792424721473472,-0.1613761433287066,0.9946073726703173,0.9849725890198326,-0.3193003905434413,-0.32257319721789235,0.32257319721789235,0.4210280237281202,0.5789719762718798,0.1579439525437596,19813.0,0.008616799374541819,0.21111158467627456,0.03411532395662964,0.2470605917308404,0.9959581407142976,0.7529394082691596,0.9445320677998721,0.1579439525437596,0.3471048936547198,0.7888884153237254,0.5341764273835876,0.49458424411217095
209,C4_smooth_421_hjorth_mobility,0.15870312733728886,-0.1621720481534036,0.9929585189648313,0.9864116354859751,-0.32087517549069244,-0.3242060454423816,0.3242060454423816,0.4186318342538208,0.5813681657461792,0.16273633149235844,19895.0,0.0067972950295761775,0.21111158467627456,0.016952030396276907,0.2519440519349828,0.9959581407142976,0.7480559480650172,0.9493132599643185,0.16273633149235844,0.17247770284730973,0.7888884153237254,0.5026017391116714,0.4646134835132623
177,C4_Cz_mean_hjorth_mobility,0.16694136874251567,-0.17059036040901604,0.9972336359095068,0.979152432233383,-0.33753172915153173,-0.3415163209188311,0.3415163209188311,0.4138102334823646,0.5861897665176354,0.17237953303527087,20060.0,0.004143449843021251,0.21111158467627456,0.0043269752712220555,0.22790987232174775,0.94065057730322,0.7720901276782522,1.0,0.17237953303527087,0.04402462345875706,0.7888884153237254,0.4980266027864687,0.4639750489502993
225,C4_smooth_611_hjorth_mobility,0.14894033081119987,-0.15219585716771875,0.9824644140897846,1.000216586634017,-0.3011361879789186,-0.30378404379982754,0.30378404379982754,0.42731071564244183,0.5726892843575582,0.14537856871511634,19598.0,0.015611615300060791,0.242248577086696,0.03250842595267267,0.26821210295055525,0.9744936218048437,0.7317878970494447,0.8895149806317525,0.14537856871511634,0.33075557915058257,0.757751422913304,0.504139000392851,0.46357414595042373
58,C4_clean_025Cz_hjorth_complexity,-0.11524350345287364,0.117762487134891,0.9406548788054454,1.049332384357757,0.23300599058776464,0.23396845002712535,0.23396845002712535,0.5904269308319453,0.5904269308319453,0.1808538616638906,14016.0,0.0026297435147852716,0.1831296503881007,0.048425518824099845,0.18589563934275866,0.9564806081978818,0.8141043606572413,0.6850858335157461,0.1808538616638906,0.49270335474411825,0.8168703496118993,0.4833065992228865,0.4563532224445526
14,Cz_high_alpha_relpower,0.14127861600586808,-0.14436667318632468,0.9826083417405301,1.0023788893808383,-0.2856452891921928,-0.2878225533847497,0.2878225533847497,0.4197130416995412,0.5802869583004588,0.1605739166009177,19858.0,0.007570591971014647,0.21111158467627456,0.024810620754867285,0.1821082485813443,0.9399082408268746,0.8178917514186557,0.8427776588397476,0.1605739166009177,0.25243459184423905,0.7888884153237254,0.48054881130545324,0.45429524059004833
13,Cz_low_alpha_relpower,-0.1597854999685501,0.16327807920283585,0.986187127667121,0.992969231491738,0.32306357917138595,0.326476192367491,0.326476192367491,0.5898424943747992,0.5898424943747992,0.17968498874959837,14036.0,0.0028030048528790924,0.1831296503881007,0.0,0.17561648275624936,0.9399082408268746,0.8243835172437506,0.9559605456873198,0.17968498874959837,0.0,0.8168703496118993,0.4791629720141113,0.45391829727046645
169,C3_Cz_mean_hjorth_mobility,0.16121670512327385,-0.16474056753034128,0.9843002485311417,0.9944009660796191,-0.3259572726536151,-0.3294798732609912,0.3294798732609912,0.42213845299669794,0.5778615470033021,0.1557230940066041,19775.0,0.009598960577587745,0.22134073802437623,0.0035614945057411695,0.21072819066815376,0.9498433045296261,0.7892718093318463,0.9647557143607542,0.1557230940066041,0.036236272392979114,0.7786592619756237,0.4772807636047336,0.4471078100781915
